param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.43860226 	0.10100319 	1.41638393 	0.59943603 	0.68212848 	0.78222343 	0.76308101 	0.86672272 	0.89366442 	0.78347699 	-1.70727002 	-2.50633242 	0.04656043 	0.44783894 	0.72888409 	0.01024771 	0.56507433 	0.94759478 	0.6000 	0 
0.79911272 	0.07170620 	0.78029914 	0.82099559 	0.03106165 	0.89765143 	0.37462643 	0.75223232 	0.88484240 	0.91114589 	-1.73190901 	-2.49975342 	0.67324316 	0.27633374 	0.29159116 	0.00705061 	0.08548078 	0.85846026 	0.5804 	1 
1.09691835 	0.05692344 	1.32198630 	0.49232831 	0.20176989 	0.13592773 	0.21920352 	0.40490752 	0.95241654 	0.76070850 	-1.68521859 	-2.82059755 	0.67749261 	0.59010925 	0.32831877 	0.00103774 	0.25664543 	0.88397756 	0.5615 	2 
1.72812706 	0.53081163 	1.59807660 	0.22435800 	0.96127412 	-0.24057200 	0.95192501 	0.14899723 	0.59642784 	0.84295173 	-1.93217939 	-2.68798901 	0.61594857 	0.79080875 	0.68841518 	0.00311727 	0.54577554 	0.82868487 	0.5432 	3 
1.18369584 	0.25171028 	1.69876184 	0.17220790 	0.91708440 	0.09564817 	0.99505868 	0.24372220 	0.94500198 	0.60890427 	-2.81512693 	-2.61553072 	0.38910137 	0.66849808 	0.70986385 	0.00145449 	0.69682872 	0.89044836 	0.5254 	4 
1.27651709 	0.51475908 	1.55380561 	0.02162509 	0.70266407 	0.27351366 	0.95920658 	0.97697668 	0.94392709 	0.46807386 	-3.10547789 	-1.88426198 	0.50012320 	0.35459660 	0.26941297 	0.00452054 	0.57465469 	0.33574203 	0.5083 	5 
1.60853368 	0.31798175 	1.50882057 	0.26221565 	0.18787318 	0.35075613 	0.99577924 	0.79765810 	0.91889215 	0.48007664 	-3.30924607 	-1.65176313 	0.73890341 	0.02867678 	0.41562164 	0.00279373 	0.50450445 	0.88706358 	0.4917 	6 
2.08636789 	0.64267293 	1.37520666 	0.36770108 	0.32162042 	0.83152293 	0.63844276 	0.58312876 	0.92303457 	0.34747322 	-2.89094139 	-1.68281241 	0.76348078 	0.08778608 	0.26210353 	0.00374325 	0.27379566 	0.51890380 	0.4756 	7 
1.87786418 	0.54926102 	1.70826999 	0.00819847 	0.45335332 	1.25106608 	0.85632085 	0.58313419 	0.90276269 	0.50233141 	-2.41997352 	-1.64108185 	0.33050865 	0.25949762 	0.44933967 	0.00356095 	0.51168532 	0.60296231 	0.4601 	8 
1.64119923 	0.54237969 	2.09577099 	0.02971444 	0.61060723 	1.14787713 	0.89054689 	0.39491542 	0.88651786 	0.38084123 	-2.58452229 	-1.75794798 	0.68816613 	0.41385008 	0.84562344 	0.00486046 	0.72752395 	0.55387872 	0.4451 	9 
1.73797689 	0.67606160 	2.07669062 	0.15844731 	0.36307558 	1.63267463 	0.70211105 	0.50039290 	0.95126133 	0.33903901 	-2.77896174 	-1.95393246 	0.83599083 	0.35710031 	0.92317000 	0.00195757 	0.69370374 	0.73728027 	0.4306 	10 
1.82567224 	1.05228984 	2.35935776 	0.20277744 	0.36287342 	1.72093327 	0.90627584 	0.56710827 	0.82380942 	0.37682592 	-2.53272623 	-1.96114187 	0.80252556 	0.25649509 	0.64914688 	0.00177970 	0.60688743 	0.50905836 	0.4165 	11 
1.71967266 	1.18136837 	2.56766772 	0.22657109 	0.60280798 	1.79054985 	0.75548519 	0.58180202 	0.70043304 	0.38927475 	-2.40424876 	-1.60533803 	0.91313347 	0.10828905 	0.66531219 	0.00123271 	0.70498692 	0.37469160 	0.4029 	12 
1.55148298 	1.17580250 	2.45508342 	0.32899174 	0.46237439 	1.65364729 	0.61081722 	0.76470643 	0.85526959 	0.38112350 	-2.60308254 	-1.48599394 	0.90626069 	0.08437939 	0.74331590 	0.00149106 	0.56572846 	0.63539355 	0.3898 	13 
1.32374655 	1.24941242 	2.61624566 	0.16504897 	0.35255809 	1.82817745 	0.69244298 	0.84600490 	0.75764086 	0.53983979 	-2.90872193 	-1.58859875 	0.69931358 	0.45274083 	0.35930057 	0.00271816 	0.44290495 	0.65213061 	0.3771 	14 
1.52361701 	1.14891778 	2.66073553 	0.14074691 	0.13876852 	1.94016960 	0.70350255 	0.83270045 	0.89102960 	0.11718110 	-2.54003397 	-1.74009909 	0.43288253 	0.17325744 	0.38428291 	0.00212204 	0.44947821 	0.70836502 	0.3648 	15 
