param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
2.94812037 	0.50223842 	0.03194359 	0.46860131 	0.52304621 	-0.13516695 	0.86340323 	0.69093790 	0.77946146 	0.93039057 	0.24615518 	0.12619900 	0.86570503 	0.49171078 	0.44168453 	0.08771205 	0.42725740 	0.31166985 	0.6000 	0 
2.84886373 	0.70243277 	1.09651779 	0.42973025 	0.87452504 	0.24386451 	0.42386076 	0.80953279 	0.92178990 	0.77400979 	0.36960003 	1.00130494 	0.93135202 	0.64425414 	0.69777614 	0.11481630 	0.75910582 	0.70698884 	0.5804 	1 
2.52729982 	1.13599341 	0.87653543 	0.12847070 	0.69303869 	0.42787110 	0.68981758 	0.74827382 	0.98286896 	0.80144252 	0.61336227 	1.84731992 	0.76166753 	0.50806238 	0.62556943 	0.08144407 	0.94612106 	0.35634795 	0.5615 	2 
2.97157987 	2.17569374 	0.83316160 	0.28878123 	0.99571724 	0.69965332 	0.48344860 	0.77751677 	0.49134106 	0.85942651 	0.06448152 	1.56660605 	0.67147763 	0.38609926 	0.65336364 	0.15431759 	0.88358379 	0.97730575 	0.5432 	3 
2.92130136 	2.07336250 	0.53292598 	0.83767141 	0.53754433 	0.39665651 	0.84276892 	0.83774898 	0.73815513 	0.66960974 	0.49570115 	1.67390224 	0.83283285 	0.19859616 	0.18112756 	0.08600941 	0.97302349 	0.58818510 	0.5254 	4 
2.46755318 	2.02199355 	0.54041856 	0.72458956 	0.11848983 	0.14774158 	0.26508191 	0.78288855 	0.29545934 	0.86247203 	0.18563636 	2.21730597 	0.47765075 	0.98504363 	0.14086921 	0.17309419 	0.77870415 	0.44632867 	0.5083 	5 
2.11435339 	1.98477473 	0.66139679 	0.55622763 	0.07298574 	0.68088144 	0.25462392 	0.94959656 	0.36590541 	0.93117344 	0.15177566 	2.10827624 	0.67107225 	0.83363508 	0.33164813 	0.33883067 	0.62188272 	0.09509370 	0.4917 	6 
1.66329699 	2.38921661 	1.26065701 	0.77990486 	0.13963648 	0.70088879 	0.04378994 	0.55584316 	0.54035288 	0.80478682 	-0.15441525 	2.55629996 	0.92883002 	0.36658346 	0.34259471 	0.32672332 	0.29384390 	0.11658318 	0.4756 	7 
1.55277068 	2.52271305 	0.88106133 	0.62041996 	0.09696237 	0.14292665 	0.16232830 	0.05996798 	0.71221216 	0.86843741 	-0.68342013 	2.74577786 	0.69650347 	0.49607385 	0.34214667 	0.31320030 	0.35426171 	0.18065223 	0.4601 	8 
1.40564763 	2.42154274 	0.67378443 	0.93349627 	0.29903637 	0.17009672 	0.29590491 	0.08608140 	0.49059464 	0.83776225 	-0.86952468 	3.09310839 	0.39885954 	0.26178430 	0.38222602 	0.27740204 	0.10816692 	0.41010834 	0.4451 	9 
1.84732542 	2.24543088 	0.76389424 	0.81943355 	0.72465037 	0.49670592 	0.26334793 	0.69745759 	0.28707868 	0.80507341 	-0.77222891 	3.17630471 	0.20659153 	0.70312584 	0.05281562 	0.42958333 	0.05717257 	0.49436534 	0.4306 	10 
2.20413971 	2.29352525 	0.28367614 	0.65075379 	0.75801739 	0.59089749 	0.44098599 	0.63264385 	0.20244604 	0.87151694 	-0.79169990 	3.20786635 	0.57451908 	0.92893652 	0.49565025 	0.80791876 	0.09647510 	0.40151688 	0.4165 	11 
1.55259867 	2.31719368 	0.10506062 	0.78572128 	0.33451849 	-0.48991850 	0.42231821 	0.69253181 	0.44902666 	0.84729651 	-1.69097775 	2.83981111 	0.89658167 	0.80031174 	0.26883127 	0.49077507 	0.35370650 	0.30406952 	0.4029 	12 
1.39847482 	2.33682210 	0.00731825 	0.57507527 	0.59267984 	-0.56736508 	0.55885285 	0.41589308 	0.01925860 	0.59574421 	-1.96004488 	3.05207326 	0.74178045 	0.55639723 	0.34992195 	0.48918691 	0.09062496 	0.32916477 	0.3898 	13 
1.29078354 	2.49895780 	0.38919857 	0.53085366 	0.36729976 	-0.64968244 	0.30508449 	0.33716168 	0.14600181 	0.89537247 	-1.90528902 	3.18738182 	0.88648325 	0.80332287 	0.32625940 	0.57046749 	0.16606508 	0.29792539 	0.3771 	14 
1.23683742 	2.32011466 	0.57273426 	0.84818771 	0.22343556 	-0.71337743 	0.08731480 	0.49663108 	0.25656115 	0.87927957 	-1.76445202 	3.23247643 	0.87713579 	0.66700840 	0.20221822 	0.75523678 	0.18891874 	0.25035130 	0.3648 	15 
1.39472897 	2.08451765 	0.67975156 	0.66917545 	0.07148789 	-0.72602447 	0.17455708 	0.48980189 	0.24791906 	0.88079404 	-1.79996878 	3.57719685 	0.72119509 	0.86735217 	0.29374612 	0.51560487 	0.14612088 	0.25355691 	0.3528 	16 
