param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.72065518 	0.93162323 	0.66380272 	0.84332774 	0.85967366 	1.07539860 	0.81059047 	0.94614193 	0.94023906 	0.97029598 	-0.81942757 	-2.11405894 	0.03235350 	0.33348603 	0.28869044 	0.05952690 	0.36356973 	0.94351939 	0.6000 	0 
0.85755022 	1.87169521 	1.16323448 	0.20871093 	0.86942236 	1.46367884 	0.82359382 	0.73690243 	0.26296771 	0.99107541 	-0.27705645 	-2.38926144 	0.01067305 	0.82086883 	0.21275559 	0.20295095 	0.29981131 	0.97262873 	0.5804 	1 
0.91526776 	1.94246900 	1.15464672 	0.55418226 	0.37149356 	1.54022863 	0.68933558 	0.37420682 	0.31290374 	0.97816077 	-0.42570887 	-3.02430152 	0.02384229 	0.92867088 	0.31822914 	0.42222739 	0.58259872 	0.91761813 	0.5615 	2 
1.62892669 	2.66760811 	1.69314221 	0.36383117 	0.47553973 	1.67403337 	0.23572582 	0.65899491 	0.00841976 	0.95751130 	-0.19749570 	-3.23572963 	0.61304706 	0.47716816 	0.38299367 	0.15508967 	0.43739287 	0.40430401 	0.5432 	3 
1.56436262 	2.59496250 	1.40647753 	0.17265907 	0.29261694 	2.41793023 	0.25764520 	0.92377814 	0.11210226 	0.98618363 	0.14221467 	-3.45964672 	0.54051479 	0.05031053 	0.20953349 	0.32298104 	0.67725403 	0.44094012 	0.5254 	4 
1.67212623 	1.96528586 	1.21002460 	0.71631861 	0.40361576 	2.48069716 	0.85543070 	0.76374048 	0.49635092 	0.92693510 	-0.02678112 	-3.76446541 	0.94890546 	0.08155244 	0.44390697 	0.42096913 	0.36920294 	0.01195636 	0.5083 	5 
1.80172701 	1.91389108 	0.69452133 	0.61778209 	0.14379527 	2.08613843 	0.70299920 	0.65678958 	0.60238091 	0.95233647 	-0.14188816 	-4.05791479 	0.89488621 	0.24880710 	0.30976720 	0.15668702 	0.45607784 	0.49267959 	0.4917 	6 
2.01815159 	2.30159555 	0.85789190 	0.87050704 	0.03474600 	1.57065785 	0.85970640 	0.52977067 	0.83459150 	0.95152504 	-0.77328784 	-3.55938955 	0.84437603 	0.04666218 	0.05905859 	0.12135288 	0.11785178 	0.29298513 	0.4756 	7 
1.90185940 	1.94567081 	0.52912565 	0.83517697 	0.14392503 	1.79918381 	0.76318304 	0.10803762 	0.67007311 	0.93875369 	-0.88721976 	-3.41370121 	0.93027239 	0.50940691 	0.28259041 	0.04656802 	0.11915419 	0.34598794 	0.4601 	8 
1.57100343 	2.50562176 	0.34917922 	0.55819833 	0.49555239 	1.93787293 	0.67328603 	0.07526377 	0.46174673 	0.97411048 	-1.25937497 	-3.27884051 	0.81426994 	0.93726942 	0.20000213 	0.02811873 	0.51904136 	0.60883908 	0.4451 	9 
1.02660730 	2.93240416 	0.46313435 	0.57271371 	0.35996366 	2.09038898 	0.75332714 	0.18376249 	0.77123120 	0.96508430 	-1.35759628 	-3.64234730 	0.60751608 	0.85731502 	0.09363996 	0.01077001 	0.66498235 	0.44205736 	0.4306 	10 
0.82294497 	3.07536354 	0.47599381 	0.75956051 	0.25831579 	2.14372531 	0.72018139 	0.10507290 	0.89110834 	0.97477633 	-1.39961312 	-3.59633238 	0.46518388 	0.71203693 	0.14417511 	0.01349726 	0.51530976 	0.58535417 	0.4165 	11 
0.62192591 	3.22340082 	0.55918617 	0.53992158 	0.24731162 	2.19928535 	0.67788465 	0.20813563 	0.77209184 	0.99239386 	-1.41192682 	-3.63375692 	0.40583601 	0.66143476 	0.02280532 	0.00922576 	0.49728465 	0.71904057 	0.4029 	12 
0.91849573 	3.23307003 	0.50065682 	0.66427511 	0.20364939 	2.39317353 	0.47214786 	0.18448553 	0.84710052 	0.97255945 	-1.06678384 	-3.75387851 	0.19531134 	0.63356220 	0.07311097 	0.00872965 	0.67732034 	0.62967813 	0.3898 	13 
0.91071003 	2.98672661 	0.64126813 	0.71975446 	0.33850765 	2.49372265 	0.34551135 	0.27678923 	0.99873186 	0.95397740 	-1.34736292 	-3.75548960 	0.43328989 	0.67576015 	0.38070231 	0.01250775 	0.77518281 	0.52767124 	0.3771 	14 
