param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.45604954 	1.75295240 	1.14528437 	0.81374633 	0.40538289 	-1.09892871 	0.79515127 	0.81000217 	0.73870967 	0.92890991 	-1.63389519 	1.06192874 	0.02946013 	0.76449179 	0.09424767 	0.05907809 	0.04934624 	0.56563507 	0.6000 	0 
0.86053090 	1.56766834 	0.64214305 	0.90482008 	0.49924786 	-0.55294291 	0.96164886 	0.44242641 	0.78865261 	0.96638747 	-1.62166547 	1.66625480 	0.15282560 	0.57121594 	0.34302620 	0.33300118 	0.13936250 	0.29140761 	0.5804 	1 
1.28563993 	1.57664024 	0.89168612 	0.69577042 	0.23157855 	-0.22106401 	0.99810094 	0.69139685 	0.30543174 	0.91403022 	-1.51535146 	1.89881601 	0.30077176 	0.21103561 	0.69228109 	0.38951276 	0.09279506 	0.49004387 	0.5615 	2 
1.42094949 	1.75541306 	0.89832824 	0.56753741 	0.44964835 	-0.60960973 	0.81827090 	0.50405742 	0.67025774 	0.92074880 	-2.18559369 	2.65143180 	0.23919115 	0.28588263 	0.44004925 	0.16799717 	0.76990621 	0.49342419 	0.5432 	3 
1.42507175 	1.63269639 	1.72969012 	0.98708235 	0.06097153 	-0.72683728 	0.86512353 	0.47121838 	0.78064377 	0.84813590 	-1.86794922 	2.92477191 	0.59790662 	0.30471952 	0.33257044 	0.03641152 	0.42774263 	0.63790760 	0.5254 	4 
1.07496440 	1.58866673 	1.22397039 	0.74896348 	0.58827495 	-0.05425313 	0.91133792 	0.58650420 	0.70576210 	0.96257460 	-1.85655838 	2.78191045 	0.69578869 	0.18328238 	0.50541341 	0.03274769 	0.19542881 	0.74240923 	0.5083 	5 
1.08564947 	1.23139988 	0.93490478 	0.70782858 	0.58920621 	-1.06197373 	0.29097742 	0.45876667 	0.79710481 	0.95895667 	-1.40914287 	2.86474288 	0.67903971 	0.26221582 	0.20289064 	0.02608282 	0.23210994 	0.66222953 	0.4917 	6 
0.99489885 	1.04671275 	1.24724753 	0.72864004 	0.85111004 	-1.10409049 	0.72001386 	0.26795545 	0.59995271 	0.95320477 	-1.40201275 	2.20110879 	0.16764038 	0.33036969 	0.07305102 	0.09328554 	0.79042124 	0.35758350 	0.4756 	7 
1.95407902 	0.89056432 	1.72447678 	0.86261623 	0.97853745 	-1.75752463 	0.62647972 	0.04309006 	0.55494467 	0.95849168 	-0.83541174 	2.59738866 	0.36930532 	0.26195821 	0.69581334 	0.15984466 	0.59421372 	0.32451418 	0.4601 	8 
1.85639606 	1.40114509 	1.32147032 	0.87053100 	0.98640390 	-1.87130585 	0.73772203 	0.44499050 	0.87481760 	0.94059740 	-1.01017411 	3.09838761 	0.54951271 	0.02860367 	0.34743464 	0.11459388 	0.16974009 	0.04236712 	0.4451 	9 
1.78976607 	1.54291699 	1.49676763 	0.82479749 	0.55255565 	-1.66203477 	0.03347810 	0.15076863 	0.63366342 	0.96360787 	-0.84932541 	3.23940177 	0.35709823 	0.05979175 	0.65207489 	0.03886048 	0.26382030 	0.30601814 	0.4306 	10 
1.70341674 	1.72900595 	1.45368332 	0.81304802 	0.64011050 	-2.14689270 	0.13367021 	0.12565650 	0.49553873 	0.96939552 	-0.70828178 	3.34787291 	0.36227879 	0.25295863 	0.49876946 	0.01621541 	0.20521708 	0.66897959 	0.4165 	11 
1.88297373 	1.83115054 	1.39592666 	0.99865174 	0.60992299 	-1.82371886 	0.06568206 	0.36907692 	0.43886552 	0.94471544 	-0.39850962 	3.53124340 	0.78475316 	0.31591360 	0.64001808 	0.00656098 	0.02054231 	0.87481099 	0.4029 	12 
2.33680778 	1.84726282 	2.07621459 	0.85675397 	0.68774272 	-1.33750139 	0.51607221 	0.28695854 	0.94052718 	0.89163029 	-0.44337714 	3.39138548 	0.97779049 	0.38987293 	0.35387137 	0.00362518 	0.08406709 	0.81665776 	0.3898 	13 
