param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.71959546 	2.66623654 	2.21243300 	0.41380282 	0.38332905 	0.32365990 	0.62385489 	0.87490967 	0.98054251 	0.83373018 	1.64744844 	0.29025246 	0.13285055 	0.39799805 	0.77560388 	0.03159954 	0.20226006 	0.42466674 	0.6000 	0 
0.11043301 	2.34650671 	1.60679531 	0.16321294 	0.22379373 	0.93344360 	0.96745525 	0.41436362 	0.68968198 	0.99636318 	1.63669205 	0.25409987 	0.20500001 	0.37230033 	0.70475211 	0.09022977 	0.15397804 	0.85395155 	0.5804 	1 
0.88307013 	2.26834071 	1.62426471 	0.92994492 	0.42617291 	1.24494445 	0.77182832 	0.63242511 	0.80581335 	0.85159554 	1.28773477 	0.15685295 	0.49309877 	0.50985642 	0.41220763 	0.07828248 	0.28383499 	0.84621150 	0.5615 	2 
0.81157748 	2.19961786 	1.23790997 	0.26409369 	0.43088797 	0.89396615 	0.35217189 	0.93194621 	0.44032758 	0.81980845 	1.75917981 	0.58962787 	0.86184607 	0.02057916 	0.74026840 	0.03567469 	0.70200390 	0.35076225 	0.5432 	3 
1.12728860 	1.98820861 	1.22785202 	0.42905553 	0.13586527 	0.67742453 	0.18741754 	0.85021750 	0.76258972 	0.95877826 	1.81102989 	1.35439451 	0.49582800 	0.66339275 	0.42295918 	0.03691493 	0.39342470 	0.78368228 	0.5254 	4 
1.51137516 	1.80592693 	0.95803242 	0.23740991 	0.25766735 	0.58156743 	0.30649294 	0.93367541 	0.64019277 	0.96037113 	2.14033370 	0.92154676 	0.66525486 	0.97798189 	0.58377522 	0.03574189 	0.29705072 	0.60780445 	0.5083 	5 
2.01930324 	1.70860196 	1.11820536 	0.06045965 	0.60704194 	0.67566168 	0.50335934 	0.98542732 	0.98110184 	0.96117492 	1.93874093 	0.97808203 	0.53668197 	0.95158614 	0.06504997 	0.09286326 	0.83736310 	0.74509278 	0.4917 	6 
1.76484139 	1.66679904 	1.23253517 	0.26232895 	0.38138744 	1.04701078 	0.68877003 	0.42056188 	0.94558935 	0.93656664 	2.01511286 	0.86858563 	0.54212414 	0.65141672 	0.22315270 	0.16004913 	0.54330646 	0.59687928 	0.4756 	7 
1.24528449 	1.39883753 	0.92172007 	0.55288055 	0.72784234 	0.93918175 	0.75935044 	0.22269448 	0.97694479 	0.88385451 	2.16001360 	0.50473415 	0.67059928 	0.48081701 	0.21400715 	0.09993126 	0.69682097 	0.27557468 	0.4601 	8 
1.19828331 	1.50511412 	1.09081056 	0.48315187 	0.61493304 	1.01178255 	0.33323252 	0.01370766 	0.70742892 	0.96626912 	1.80534035 	0.45855129 	0.73745366 	0.36288198 	0.05887088 	0.26540253 	0.53793458 	0.23252376 	0.4451 	9 
1.42234191 	1.35211483 	0.88083074 	0.40090899 	0.59879632 	0.93652416 	0.31094438 	0.18885920 	0.77350937 	0.99455373 	2.14540785 	0.27437023 	0.46207990 	0.33225321 	0.29037500 	0.15490630 	0.26383513 	0.46112711 	0.4306 	10 
1.69222673 	1.65691747 	1.03498097 	0.24568948 	0.80097646 	0.98794678 	0.30852390 	0.48997224 	0.83738824 	0.96961447 	2.39229142 	0.63324540 	0.42669173 	0.36009543 	0.24445157 	0.11051331 	0.08818095 	0.74980479 	0.4165 	11 
2.09799906 	1.48750125 	1.20567817 	0.35559227 	0.85492841 	1.09247051 	0.53658401 	0.83175038 	0.90107115 	0.99318482 	2.62545824 	0.31516785 	0.68234255 	0.76818361 	0.25775950 	0.14870156 	0.32902563 	0.84626343 	0.4029 	12 
1.91689168 	1.77897012 	1.25571774 	0.59476000 	0.62951201 	1.02474103 	0.38574973 	0.98472655 	0.72844371 	0.92107337 	2.09207840 	0.06509862 	0.79451146 	0.93619361 	0.49775136 	0.10172644 	0.38789790 	0.86562765 	0.3898 	13 
2.15306721 	1.82527934 	1.13474273 	0.49974438 	0.66486660 	0.70064067 	0.41231281 	0.88568860 	0.66081201 	0.98030475 	2.12164645 	0.11979813 	0.98549777 	0.86693925 	0.41856227 	0.11983624 	0.21114043 	0.75161805 	0.3771 	14 
2.19850005 	1.83956553 	1.40969872 	0.73763386 	0.58122629 	0.84146288 	0.69703323 	0.80744696 	0.46956976 	0.89965059 	2.12887216 	0.00019463 	0.89326966 	0.89877170 	0.49390393 	0.12950275 	0.65975009 	0.78998732 	0.3648 	15 
1.97828248 	1.69268834 	1.70722414 	0.82672798 	0.67387602 	0.74462782 	0.67166685 	0.60954924 	0.68485937 	0.95474822 	2.16824831 	-0.01059579 	0.94292472 	0.92831389 	0.72181827 	0.09639750 	0.36634980 	0.83414684 	0.3528 	16 
1.78858319 	1.72229484 	1.56313154 	0.77549482 	0.56157930 	0.84254682 	0.75991698 	0.38442064 	0.72230612 	0.95953887 	2.19353210 	-0.00406578 	0.92868859 	0.74310988 	0.81145146 	0.09958903 	0.19963259 	0.65118761 	0.3413 	17 
1.87837097 	1.48853825 	1.45897975 	0.62792048 	0.59508777 	0.88045576 	0.84578999 	0.45581963 	0.60975598 	0.96958110 	2.21834678 	-0.07327311 	0.95588521 	0.73535924 	0.66457956 	0.17925863 	0.16031715 	0.70353472 	0.3302 	18 
1.81643612 	1.32667298 	1.50781850 	0.68189926 	0.54069277 	0.69076369 	0.78951807 	0.73576926 	0.69869759 	0.97679157 	2.21899604 	-0.11946907 	0.90734858 	0.59892628 	0.67226770 	0.14150265 	0.24482630 	0.72144599 	0.3194 	19 
1.89950649 	1.43988456 	1.26453979 	0.57091947 	0.21482755 	0.62374954 	0.70044815 	0.78857870 	0.87556985 	0.97803272 	2.30627108 	-0.11130391 	0.98350820 	0.34535127 	0.72111392 	0.12624982 	0.37557631 	0.68208322 	0.3090 	20 
1.70381740 	1.48430851 	1.29592315 	0.45159751 	0.08821717 	0.64828030 	0.66842123 	0.86296258 	0.75991472 	0.96996745 	2.53901064 	-0.05396980 	0.98452089 	0.35992910 	0.78855812 	0.08582201 	0.31251172 	0.63295514 	0.2989 	21 
1.53506417 	1.49661315 	1.22769077 	0.53690539 	0.23787350 	0.58798234 	0.82311199 	0.92147417 	0.74399357 	0.97508572 	2.44602180 	0.14500010 	0.91772113 	0.39324316 	0.86590948 	0.14097617 	0.30593999 	0.71473447 	0.2892 	22 
1.44778415 	1.58513162 	1.17132627 	0.44582498 	0.09195334 	0.56455795 	0.83076672 	0.88923125 	0.78456184 	0.99397613 	2.48818384 	0.09952459 	0.90581714 	0.29707960 	0.91648144 	0.09469814 	0.41767979 	0.72664349 	0.2797 	23 
1.49048360 	1.57379243 	1.06757550 	0.50609054 	0.44804557 	0.55073199 	0.75570406 	0.98595444 	0.80160124 	0.99489861 	2.48015877 	0.09420296 	0.73303478 	0.41904978 	0.89912437 	0.11296142 	0.41517900 	0.57704432 	0.2706 	24 
1.49882098 	1.67122970 	1.04908863 	0.42384115 	0.39767390 	0.52664490 	0.71985751 	0.81745588 	0.97439274 	0.99122997 	2.62740452 	-0.04649739 	0.79624593 	0.30919600 	0.90474047 	0.13757097 	0.37595472 	0.49944386 	0.2618 	25 
1.54325482 	1.69383881 	1.03235333 	0.31134772 	0.34290629 	0.40297344 	0.66607675 	0.78681025 	0.89027979 	0.99145963 	2.78368202 	-0.04441005 	0.80325512 	0.34064939 	0.89962290 	0.16363719 	0.35278332 	0.49252659 	0.2532 	26 
1.60834308 	1.68272176 	1.04492062 	0.38308724 	0.37048452 	0.36176848 	0.65229762 	0.87648883 	0.81639568 	0.98970919 	2.78062157 	-0.08031130 	0.63344184 	0.23222718 	0.94371329 	0.14711257 	0.34841986 	0.37999872 	0.2449 	27 
1.54628545 	1.75428552 	1.14118368 	0.44441552 	0.39527401 	0.39775686 	0.67523303 	0.97749760 	0.81317368 	0.99318196 	2.68711184 	-0.00717670 	0.57731588 	0.19792977 	0.93310793 	0.14199075 	0.36557825 	0.52753324 	0.2370 	28 
1.58024331 	1.70455760 	1.08509634 	0.36636899 	0.39517193 	0.50822261 	0.71731832 	0.91605744 	0.83869803 	0.99265679 	2.70355002 	-0.00538018 	0.49153291 	0.18544974 	0.96765407 	0.12892618 	0.40033094 	0.52818133 	0.2292 	29 
1.59668108 	1.68385646 	1.09789756 	0.32966826 	0.37154019 	0.34366001 	0.78385776 	0.60833597 	0.70764650 	0.99161192 	2.81005247 	-0.01746731 	0.68175213 	0.06447502 	0.92732130 	0.22390135 	0.30516873 	0.58407735 	0.2217 	30 
1.48415051 	1.87952164 	0.97539582 	0.44738696 	0.41297700 	0.27412372 	0.43848347 	0.54376391 	0.69964552 	0.99288101 	2.80972037 	-0.11393611 	0.59845744 	0.01433668 	0.97974845 	0.29575665 	0.37399685 	0.58363304 	0.2145 	31 
1.50779515 	2.21629668 	0.97861862 	0.38298761 	0.55645533 	0.36296839 	0.25214989 	0.54503651 	0.69784951 	0.99297637 	3.05551490 	-0.22989125 	0.62986360 	0.15653688 	0.83978173 	0.37622938 	0.35454450 	0.71479614 	0.2075 	32 
1.45691374 	2.33072999 	1.23349851 	0.36723964 	0.55797382 	0.31631763 	0.32538167 	0.51960514 	0.73767281 	0.99384464 	3.10708804 	-0.25004144 	0.51230615 	0.05680397 	0.85150844 	0.45914052 	0.35307290 	0.71799871 	0.2007 	33 
1.61581689 	2.43407228 	1.25243311 	0.34346319 	0.45111832 	0.42343103 	0.29365599 	0.44071423 	0.74049093 	0.99226753 	3.21990814 	-0.22008145 	0.62332866 	0.01520432 	0.66157412 	0.38582307 	0.54378448 	0.67839798 	0.1942 	34 
1.72001133 	2.42713326 	1.25694621 	0.25179664 	0.50294332 	0.36954748 	0.37038135 	0.43737104 	0.59380034 	0.99173270 	3.30591598 	-0.26202488 	0.45292022 	0.12896655 	0.77806005 	0.75534483 	0.39471612 	0.80088750 	0.1878 	35 
