param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
4.51859689 	0.82881887 	0.90067840 	0.82398949 	0.60849944 	0.12751791 	0.75061015 	0.78785417 	0.86590406 	0.81417357 	-0.07080873 	1.46814290 	0.87102878 	0.88203838 	0.69893506 	0.01302244 	0.05612051 	0.69473030 	0.6000 	0 
4.90059423 	0.93414932 	0.93215280 	0.63068453 	0.72204606 	0.19547132 	0.79263754 	0.86231453 	0.86091556 	0.67132339 	0.62404530 	0.80484298 	0.71072384 	0.93862735 	0.68890655 	0.00416266 	0.54981352 	0.71771201 	0.5804 	1 
5.01427108 	1.44922437 	0.94379780 	0.25337827 	0.49704159 	0.46289493 	0.87089792 	0.94400137 	0.40568728 	0.77383699 	1.08268106 	0.94247161 	0.53629682 	0.92939054 	0.29420383 	0.00222779 	0.41615552 	0.31280452 	0.5615 	2 
5.09041478 	0.80717152 	1.00054954 	0.58105317 	0.69104895 	0.00745136 	0.95494149 	0.26320472 	0.26065759 	0.94012896 	1.56922156 	1.60629483 	0.53980182 	0.78309487 	0.42810443 	0.00323095 	0.30879733 	0.57933970 	0.5432 	3 
5.21314685 	1.08408055 	0.46903569 	0.98447874 	0.89991368 	0.32195984 	0.93419031 	0.07699261 	0.38946358 	0.94242731 	1.83266453 	2.31352166 	0.49993309 	0.78139644 	0.36979569 	0.00368546 	0.40136681 	0.60679813 	0.5254 	4 
5.28597085 	0.79384458 	0.91781749 	0.61082323 	0.43195181 	-0.06876962 	0.76899251 	0.64800032 	0.74660511 	0.95967894 	1.91760321 	2.54555618 	0.05009413 	0.52779778 	0.75474471 	0.00201063 	0.06109152 	0.93035918 	0.5083 	5 
4.97561813 	0.84256697 	0.20958581 	0.41280439 	0.35391301 	-0.13452608 	0.91037270 	0.19909020 	0.84753358 	0.97758456 	2.35506023 	2.13368472 	0.19809223 	0.01928813 	0.68730124 	0.00032421 	0.06807371 	0.83464609 	0.4917 	6 
4.79492935 	0.81149828 	0.62038983 	0.44912123 	0.34158129 	0.11562544 	0.46538262 	0.92101433 	0.85857699 	0.96112491 	2.25841154 	1.95610495 	0.10374844 	0.28751501 	0.69815871 	0.00009433 	0.47324564 	0.26165133 	0.4756 	7 
4.65310604 	0.70023954 	0.11362180 	0.67200114 	0.33937626 	0.27501784 	0.22866280 	0.83023457 	0.93725009 	0.98232052 	2.72654506 	1.71556114 	0.02510076 	0.30490722 	0.44831190 	0.00007358 	0.13113405 	0.49823284 	0.4601 	8 
4.41159706 	0.94787210 	0.02533115 	0.99953761 	0.12654675 	0.90197783 	0.42612851 	0.56302229 	0.83158731 	0.96869414 	2.67922025 	1.34178240 	0.55725047 	0.15721713 	0.27654468 	0.00015057 	0.28173101 	0.14348377 	0.4451 	9 
3.99435489 	1.06109261 	0.39332802 	0.82299701 	0.42626469 	1.17269142 	0.63674956 	0.62696531 	0.42838137 	0.89242003 	2.71127176 	1.16182113 	0.70723352 	0.25209082 	0.34383231 	0.00011209 	0.38387411 	0.00046184 	0.4306 	10 
3.97613626 	1.23151476 	0.69831581 	0.84530802 	0.35905505 	1.24999060 	0.89715775 	0.36688583 	0.06169833 	0.94285855 	2.84610537 	1.67492747 	0.99467469 	0.35288772 	0.45354347 	0.00011117 	0.30389524 	0.07972691 	0.4165 	11 
