param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.44209621 	1.83782610 	0.00204305 	0.57524246 	0.39352902 	-0.45637947 	0.80363243 	0.90004574 	0.81923937 	0.72876805 	0.55282851 	0.01829381 	0.89702261 	0.40206217 	0.95093213 	0.05524726 	0.32693199 	0.60878821 	0.6000 	0 
0.63055368 	2.66511736 	0.04226318 	0.92143906 	0.17176911 	-1.55733665 	0.20323083 	0.97000813 	0.17421305 	0.99595964 	0.94800255 	-0.22950847 	0.84934394 	0.24995985 	0.68509167 	0.08584436 	0.46073062 	0.87242429 	0.5804 	1 
1.22267908 	2.46465856 	0.40159762 	0.73856370 	0.47484185 	-1.28129969 	0.51201595 	0.14126045 	0.50580755 	0.92768710 	1.14335050 	-0.21527752 	0.74735231 	0.19872434 	0.27991144 	0.15790461 	0.19247665 	0.11680672 	0.5615 	2 
0.75001693 	2.16609317 	0.30996251 	0.75828882 	0.54350291 	-0.81899559 	0.02986988 	0.67574392 	0.48598379 	0.83339074 	1.26757317 	0.22409738 	0.41901252 	0.11169356 	0.14335958 	0.11527863 	0.09355797 	0.41419238 	0.5432 	3 
0.98988581 	2.18902628 	1.34841107 	0.82774985 	0.49889056 	-0.35928406 	0.37596806 	0.54065971 	0.47893021 	0.64440691 	1.60007969 	1.03744265 	0.12065961 	0.31286155 	0.13808103 	0.10125239 	0.21891472 	0.00366142 	0.5254 	4 
1.77016277 	2.32193448 	1.31947831 	0.63773260 	0.63075788 	-0.09200441 	0.55368636 	0.90484333 	0.61938093 	0.54250194 	1.50980329 	1.03747305 	0.55498958 	0.61209490 	0.18565009 	0.04639131 	0.38306587 	0.13580657 	0.5083 	5 
1.71765375 	2.08136172 	1.43129219 	0.19257011 	0.82150566 	0.16994742 	0.12576494 	0.93719339 	0.80969556 	0.41514609 	1.55274164 	0.73621545 	0.63309994 	0.68962001 	0.27540208 	0.10538998 	0.08690058 	0.51435791 	0.4917 	6 
1.62690186 	1.94317299 	1.93538238 	0.19712332 	0.76275653 	0.62472044 	0.15236911 	0.45737230 	0.82353512 	0.63979602 	1.78957410 	0.79016391 	0.92880232 	0.83974111 	0.55685121 	0.07214919 	0.37830710 	0.69623875 	0.4756 	7 
1.85676977 	1.78108465 	1.80126973 	0.36598151 	0.63643595 	0.75385746 	0.17664960 	0.69149060 	0.58355208 	0.85004838 	1.43178591 	1.22548828 	0.99278638 	0.87820302 	0.38739290 	0.04617744 	0.07298679 	0.17841261 	0.4601 	8 
1.86868347 	1.84477062 	1.80127092 	0.46847019 	0.98762997 	0.67727019 	0.45234825 	0.78318595 	0.81402171 	0.59195399 	1.31401220 	0.89619739 	0.62050103 	0.62689216 	0.52140991 	0.11929238 	0.17485140 	0.02474286 	0.4451 	9 
