param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
2.74841455 	0.79062058 	1.91097035 	0.03940787 	0.43112292 	0.79455321 	0.85743181 	0.88848661 	0.97010519 	0.96522080 	-2.49444337 	-0.19696834 	0.46776393 	0.45971612 	0.01801813 	0.02559314 	0.95973755 	0.98654548 	0.6000 	0 
3.32812786 	1.59818997 	1.62318400 	0.46940547 	0.57392756 	1.18393777 	0.45493885 	0.75549519 	0.94988227 	0.88090021 	-2.48181630 	-0.50474228 	0.85519979 	0.66600164 	0.54855939 	0.00837779 	0.99649968 	0.97178708 	0.5804 	1 
3.18386988 	1.51319914 	1.38468599 	0.13855115 	0.02623765 	1.55711660 	0.53002431 	0.53350438 	0.96861314 	0.86230507 	-2.54026311 	-0.81383583 	0.77541837 	0.80919805 	0.49605614 	0.00303888 	0.62459378 	0.90269374 	0.5615 	2 
3.19448132 	0.85489216 	1.46555450 	0.67455855 	0.31202891 	2.17028060 	0.28908415 	0.40011924 	0.98933466 	0.96578430 	-3.08435788 	-0.90511641 	0.25582752 	0.77409159 	0.32425276 	0.00284081 	0.83059440 	0.27581218 	0.5432 	3 
2.42321282 	1.20744701 	1.64588682 	0.37904477 	0.47917221 	3.03529029 	0.23852500 	0.95144772 	0.98834722 	0.91741665 	-3.55024615 	-0.80839891 	0.21566041 	0.71344036 	0.46161081 	0.00205325 	0.83805607 	0.44197869 	0.5254 	4 
2.87754918 	1.87594051 	1.34369100 	0.69621520 	0.63193835 	3.32863319 	0.35776483 	0.86165257 	0.99583229 	0.71643380 	-3.41213053 	-0.77899759 	0.35022311 	0.81623988 	0.05299488 	0.00146091 	0.94211226 	0.02772385 	0.5083 	5 
3.21470330 	2.27804325 	0.92837964 	0.85290751 	0.87063216 	3.30996035 	0.97903584 	0.78053739 	0.97612601 	0.68717478 	-3.58682259 	-0.80368338 	0.27717351 	0.91724386 	0.07589309 	0.00339241 	0.96552827 	0.45065086 	0.4917 	6 
3.00586041 	2.24206452 	1.12037222 	0.55149948 	0.83134097 	2.98912477 	0.72403853 	0.30875827 	0.95086355 	0.92093222 	-3.32618971 	-1.26938755 	0.42882079 	0.81103511 	0.43878090 	0.00098158 	0.90131527 	0.59050418 	0.4756 	7 
2.96101167 	2.20734608 	0.32454244 	0.32719847 	0.60310868 	2.90623844 	0.82873607 	0.65526409 	0.96822406 	0.92876032 	-3.25343804 	-0.83385969 	0.19077474 	0.71470701 	0.08104312 	0.00049147 	0.82448151 	0.80228060 	0.4601 	8 
3.30898167 	2.43530168 	0.12490314 	0.30621560 	0.86726398 	3.47295878 	0.86590852 	0.45017385 	0.99536968 	0.93209636 	-3.18312621 	-0.67286470 	0.25890354 	0.88918696 	0.35745789 	0.00025161 	0.86006735 	0.25911719 	0.4451 	9 
3.11646282 	2.25878781 	0.02781078 	0.28991512 	0.90382162 	3.78353946 	0.89080627 	0.42905697 	0.95819962 	0.94144904 	-3.20538918 	-0.82125436 	0.16252279 	0.90489278 	0.54262123 	0.00056421 	0.65969770 	0.31155803 	0.4306 	10 
2.88623661 	2.04091879 	0.08792599 	0.35050045 	0.65344137 	3.73953507 	0.58024073 	0.08374815 	0.99821509 	0.91544212 	-3.09361888 	-0.75376019 	0.27697200 	0.72621670 	0.62474541 	0.00124597 	0.73523791 	0.72729862 	0.4165 	11 
3.06396501 	1.93263151 	0.61009591 	0.63850554 	0.60439558 	3.89609514 	0.58872719 	0.14909901 	0.99650858 	0.53441848 	-3.13690467 	-0.87500665 	0.51890044 	0.90031918 	0.79787747 	0.00043301 	0.99822558 	0.86326129 	0.4029 	12 
3.21650858 	1.94524954 	0.54951753 	0.63358925 	0.33134287 	3.54921359 	0.53181874 	0.42779649 	0.98833718 	0.75849800 	-3.27871443 	-1.47764093 	0.84927290 	0.98300828 	0.91832852 	0.00044740 	0.95664300 	0.67723800 	0.3898 	13 
2.88602667 	1.76606198 	0.02215564 	0.66758994 	0.22021568 	3.34293139 	0.56590503 	0.49113098 	0.99940728 	0.82268499 	-3.60897539 	-1.26471628 	0.88405375 	0.79123497 	0.80311285 	0.00039855 	0.95448893 	0.33413789 	0.3771 	14 
