param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
1.63058272 	2.27052727 	0.01191108 	0.98251069 	0.01847074 	-0.87799984 	0.81145398 	0.89616308 	0.87438657 	0.87936796 	-2.48052609 	-1.85066911 	0.42845655 	0.90876550 	0.79284050 	0.03013100 	0.80107666 	0.69098169 	0.6000 	0 
2.66842515 	2.70339524 	0.21565982 	0.93485329 	0.51154850 	-0.23907656 	0.70040515 	0.69943553 	0.90589972 	0.87209981 	-2.62765339 	-1.98951873 	0.03355980 	0.58635078 	0.65899107 	0.05735550 	0.91430291 	0.44726271 	0.5804 	1 
2.59895898 	2.78157429 	0.44702726 	0.51959419 	0.43941353 	0.22651880 	0.83129505 	0.52698661 	0.73810047 	0.92821232 	-3.11407679 	-1.68121886 	0.98553579 	0.75131379 	0.20951148 	0.01233002 	0.72227532 	0.95954005 	0.5615 	2 
2.62206409 	2.95253604 	0.66347717 	0.80363002 	0.60910183 	0.09125932 	0.88040737 	0.86694931 	0.61310069 	0.87052069 	-3.13941403 	-1.40313079 	0.53939167 	0.46524720 	0.26109162 	0.01759097 	0.95710861 	0.72658115 	0.5432 	3 
2.94817846 	2.44548928 	1.02493884 	0.81319823 	0.85864840 	0.29914543 	0.93171256 	0.99082227 	0.51033225 	0.83492999 	-3.75030550 	-0.98894865 	0.46593105 	0.42911447 	0.60832167 	0.00982276 	0.81992516 	0.69974223 	0.5254 	4 
3.38315361 	2.58661752 	0.80115025 	0.95241595 	0.72321920 	0.32373750 	0.89472700 	0.74596579 	0.59924038 	0.83428756 	-3.65189066 	-1.18812639 	0.25029809 	0.43012898 	0.31456171 	0.00324971 	0.77322555 	0.94431038 	0.5083 	5 
3.49923851 	2.04420209 	0.92260440 	0.98714299 	0.54722424 	0.63716994 	0.97835411 	0.81211100 	0.79950635 	0.84906282 	-3.67844885 	-1.31778098 	0.29980599 	0.92111247 	0.21545918 	0.00740188 	0.97677901 	0.82594018 	0.4917 	6 
3.54923793 	2.06982893 	1.11374556 	0.99029699 	0.68604290 	0.37827824 	0.85050893 	0.92490306 	0.57003522 	0.87895986 	-3.59376258 	-1.26869321 	0.36492021 	0.53614367 	0.78807727 	0.00709774 	0.91509101 	0.95977881 	0.4756 	7 
3.79503354 	2.25288142 	1.42620717 	0.98355569 	0.57288802 	0.40887158 	0.88784941 	0.90389817 	0.62339345 	0.87422418 	-3.41502096 	-1.12501272 	0.17303667 	0.21883808 	0.16522306 	0.01144031 	0.92456209 	0.91488864 	0.4601 	8 
3.85216591 	2.55138185 	1.68119595 	0.97826698 	0.12817641 	0.32032885 	0.88083375 	0.70886576 	0.68084725 	0.84876176 	-3.48300770 	-1.25467811 	0.43444584 	0.38432264 	0.35566865 	0.00433585 	0.97019293 	0.92549677 	0.4451 	9 
3.65783652 	2.66672814 	1.85989600 	0.96532128 	0.21568518 	0.21700733 	0.59312734 	0.84984439 	0.23216018 	0.91259198 	-3.29508258 	-1.12984170 	0.26730106 	0.45309833 	0.06039003 	0.00214751 	0.99417787 	0.93700825 	0.4306 	10 
3.79085873 	2.92834810 	1.64389720 	0.99625783 	0.34091695 	0.51525286 	0.98818049 	0.82637242 	0.47836437 	0.87254907 	-3.17357089 	-1.04989084 	0.28690710 	0.46885254 	0.37845924 	0.00265226 	0.97946436 	0.83279199 	0.4165 	11 
3.91809479 	3.16542411 	1.11193138 	0.75780012 	0.18024757 	0.63666610 	0.89690076 	0.68539645 	0.42737964 	0.87683187 	-3.08504745 	-1.26260280 	0.70441861 	0.41465363 	0.67121939 	0.00420804 	0.88127704 	0.91775256 	0.4029 	12 
3.70260010 	3.44475191 	0.83094506 	0.98231988 	0.30544039 	0.76943290 	0.76451849 	0.94089897 	0.48105766 	0.91492694 	-3.33117377 	-1.31049848 	0.73370924 	0.43686941 	0.51023404 	0.00649943 	0.88183644 	0.95428846 	0.3898 	13 
3.70537931 	3.53813503 	0.73609932 	0.93727507 	0.58804220 	0.84061351 	0.90511157 	0.91786471 	0.65843290 	0.81506112 	-3.40233289 	-1.31480214 	0.80724585 	0.22461989 	0.41671951 	0.00570037 	0.98631380 	0.78605972 	0.3771 	14 
3.77432464 	3.68393453 	0.81035983 	0.73395609 	0.26004866 	0.84954642 	0.85927016 	0.94299485 	0.55185468 	0.85630030 	-3.31055935 	-1.12125226 	0.80524771 	0.20912067 	0.49681482 	0.00962950 	0.87395845 	0.79383922 	0.3648 	15 
3.91848919 	3.73361123 	0.74460755 	0.73650952 	0.10678762 	0.83507004 	0.96577602 	0.78275049 	0.46659884 	0.86665793 	-3.48494370 	-1.03725422 	0.93850461 	0.19518272 	0.50954211 	0.00654350 	0.73234126 	0.75554194 	0.3528 	16 
3.65943039 	3.86741742 	0.72556276 	0.55579190 	0.09314196 	1.00768529 	0.92388967 	0.75717900 	0.47686192 	0.91185924 	-3.54292477 	-1.07691775 	0.88063085 	0.22302626 	0.33892777 	0.00963203 	0.96071943 	0.76078893 	0.3413 	17 
3.60212444 	3.99293498 	0.94366723 	0.65244612 	0.05671378 	0.98320773 	0.69788142 	0.79420664 	0.56514843 	0.87342985 	-3.37197645 	-1.05294265 	0.82025542 	0.40232976 	0.25107704 	0.01014707 	0.85980962 	0.85976961 	0.3302 	18 
3.78992628 	4.14651188 	1.00332532 	0.59400524 	0.11908890 	1.20174716 	0.81225179 	0.83132539 	0.51792411 	0.89765496 	-3.38768569 	-1.11910326 	0.75417847 	0.46324292 	0.38574095 	0.01256688 	0.94644642 	0.84471639 	0.3194 	19 
3.79429452 	4.18598431 	1.16738465 	0.57642350 	0.07321920 	1.16312791 	0.94044603 	0.91220809 	0.47186295 	0.88962605 	-3.14700461 	-1.02600883 	0.85095122 	0.61893066 	0.29765074 	0.01480178 	0.92251194 	0.92638591 	0.3090 	20 
3.85308428 	4.27785879 	1.23095179 	0.45093542 	0.10342104 	1.13752758 	0.95304568 	0.95781219 	0.53654380 	0.89031097 	-3.18083010 	-1.17602521 	0.51476382 	0.56363203 	0.19716048 	0.01112509 	0.93818042 	0.88928962 	0.2989 	21 
4.02384285 	4.34448432 	1.18271884 	0.48705135 	0.25524877 	1.24896687 	0.96047915 	0.88282701 	0.43872961 	0.87139370 	-2.92830111 	-1.05130149 	0.61797828 	0.62546090 	0.16753993 	0.01338599 	0.99550475 	0.92777417 	0.2892 	22 
4.10714770 	4.31228382 	1.20957216 	0.45918511 	0.24992651 	1.30008006 	0.93496635 	0.95931239 	0.51654648 	0.90835712 	-2.96907683 	-1.03048519 	0.69379304 	0.67741993 	0.12526448 	0.01504729 	0.89836671 	0.94560857 	0.2797 	23 
4.03746557 	4.14672588 	1.26542948 	0.26313558 	0.06840855 	1.39223251 	0.89481433 	0.95144855 	0.45299592 	0.90256916 	-2.94463204 	-0.82209123 	0.69364028 	0.57874224 	0.27371797 	0.01339268 	0.97098338 	0.91502965 	0.2706 	24 
4.11388303 	4.10607104 	1.24488517 	0.31918334 	0.06919036 	1.41435031 	0.79515688 	0.87331686 	0.47402848 	0.89685395 	-2.96554293 	-0.83019674 	0.64477484 	0.65420281 	0.25553477 	0.02014678 	0.97585812 	0.99573010 	0.2618 	25 
