param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
0.07047579 	0.44083668 	0.96608793 	0.23264159 	0.80076678 	2.64663032 	0.92099557 	0.84527444 	0.43550179 	0.97566412 	-0.48716479 	0.05661625 	0.58302593 	0.78531586 	0.72132997 	0.02956825 	0.87643551 	0.70411232 	0.6000 	0 
0.05654670 	0.64967212 	0.76191258 	0.05051765 	0.83072093 	2.38938197 	0.72759512 	0.32858543 	0.17557519 	0.95475265 	-0.34304602 	0.51279759 	0.79553094 	0.40903520 	0.89530314 	0.05326006 	0.76129211 	0.43951459 	0.5804 	1 
0.27884863 	0.30887838 	0.90610485 	0.45148303 	0.80158440 	2.49858859 	0.84195158 	0.41753307 	0.23091971 	0.97157230 	0.07548870 	1.19165323 	0.22698636 	0.00456223 	0.76288796 	0.02808244 	0.32885820 	0.67102074 	0.5615 	2 
0.40587665 	0.25719121 	0.78693685 	0.43232042 	0.52676654 	2.11586759 	0.52125632 	0.61380748 	0.81872403 	0.99197562 	0.03375126 	1.42362569 	0.16546406 	0.28872357 	0.47027824 	0.02554799 	0.67699637 	0.47888233 	0.5432 	3 
1.45867051 	0.70128819 	1.37635759 	0.14173070 	0.75797033 	2.68885348 	0.62171297 	0.85041432 	0.56415997 	0.96984653 	0.09744604 	1.52843841 	0.25614304 	0.29143031 	0.91802346 	0.00562295 	0.27547770 	0.55405170 	0.5254 	4 
1.41915181 	0.57720649 	1.61980626 	0.92079369 	0.78339105 	2.77567146 	0.50799787 	0.73014626 	0.85431881 	0.99610710 	0.54989471 	1.31383367 	0.04219846 	0.31831011 	0.94640230 	0.00338085 	0.11683135 	0.33576278 	0.5083 	5 
1.88561643 	0.75876778 	2.14209254 	0.87313404 	0.66087061 	2.76998887 	0.49818893 	0.63457670 	0.85330225 	0.71894862 	0.85922080 	1.43589602 	0.69905232 	0.48680021 	0.73903726 	0.00380153 	0.41123730 	0.61213565 	0.4917 	6 
1.94802910 	0.51386332 	1.71226895 	0.68234143 	0.65734937 	2.66397005 	0.02738992 	0.80567524 	0.39980549 	0.99543448 	0.29129592 	1.36795687 	0.01333368 	0.70186725 	0.90200993 	0.00644869 	0.40314349 	0.29430627 	0.4756 	7 
2.01975914 	1.16638697 	1.80368645 	0.68142318 	0.70075134 	2.81084769 	0.10770506 	0.57231757 	0.09060103 	0.82882602 	0.25657193 	1.03032816 	0.12882267 	0.59747333 	0.09878292 	0.00504755 	0.66971472 	0.25916253 	0.4601 	8 
1.76811494 	0.85649191 	1.51735878 	0.50141593 	0.54191112 	2.72476583 	0.03212417 	0.56969844 	0.09791454 	0.83955063 	0.14100670 	1.31923018 	0.28174663 	0.70830005 	0.39455739 	0.00472184 	0.69106977 	0.31432963 	0.4451 	9 
1.68200758 	0.96522320 	1.52789895 	0.18355217 	0.23974116 	2.32800221 	0.30141332 	0.69944012 	0.19832313 	0.89893778 	0.34003819 	1.28422607 	0.07376666 	0.71676019 	0.31667128 	0.00748284 	0.45200972 	0.04739254 	0.4306 	10 
1.86583934 	1.33868907 	1.39693532 	0.15186307 	0.80500063 	2.31624176 	0.43190735 	0.74752488 	0.27438657 	0.90848745 	-0.02107110 	1.17706855 	0.06890976 	0.29820897 	0.85981753 	0.00446795 	0.39412186 	0.17067542 	0.4165 	11 
1.80277377 	1.41919653 	1.58858046 	0.08793140 	0.69464072 	2.37208502 	0.38718241 	0.53159560 	0.16677617 	0.90902974 	0.13880503 	1.43031670 	0.14151460 	0.28372954 	0.95633523 	0.00498704 	0.15900814 	0.43192226 	0.4029 	12 
1.73483166 	1.55077971 	1.90005220 	0.19419914 	0.46054177 	2.32721666 	0.50376834 	0.76052281 	0.03068234 	0.99855895 	0.12755313 	1.11557179 	0.51576283 	0.49743685 	0.99339526 	0.00420329 	0.06437944 	0.64664207 	0.3898 	13 
