param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 param#9 	 param#10 	 param#11 	 param#12 	 param#13 	 param#14 	 param#15 	 param#16 	 param#17 	 dist 	It 
1.90455718 	0.75719495 	2.13584875 	0.65084866 	0.26441821 	0.90962426 	0.86973624 	0.72139210 	0.91914637 	0.93890278 	-0.46036705 	1.26606907 	0.90214612 	0.40617467 	0.84868665 	0.00406721 	0.53583177 	0.91303423 	0.6000 	0 
2.53577565 	0.87759713 	1.65615195 	0.11855588 	0.39028507 	1.78838065 	0.89039696 	0.86874501 	0.98868774 	0.83070660 	-0.33923557 	0.83735336 	0.26079752 	0.63838333 	0.42469920 	0.00751186 	0.59740455 	0.74748796 	0.5804 	1 
2.56901632 	0.76367338 	1.88929447 	0.29986005 	0.74835907 	0.54237384 	0.67972900 	0.68276578 	0.99974106 	0.67839155 	-0.57372454 	0.64564737 	0.88654145 	0.52890236 	0.71031925 	0.00784137 	0.76000977 	0.66657252 	0.5615 	2 
2.94944695 	0.85297838 	1.70950162 	0.93608638 	0.67452673 	-0.05763616 	0.69801578 	0.61275271 	0.99240895 	0.82625729 	-0.76761472 	0.61328622 	0.64633948 	0.63676388 	0.38267916 	0.00607320 	0.67918636 	0.56044614 	0.5432 	3 
2.90465736 	0.66210035 	2.32979313 	0.97187062 	0.90918667 	0.41955830 	0.56002646 	0.94180787 	0.99470393 	0.92329894 	-0.72187530 	1.41367605 	0.57931856 	0.66017768 	0.11772615 	0.00577864 	0.75817826 	0.50075739 	0.5254 	4 
3.24742332 	0.82978495 	1.84372449 	0.89573620 	0.53803070 	0.36801000 	0.90962667 	0.90128209 	0.99777808 	0.74148902 	-1.02594838 	1.48206197 	0.57605831 	0.90536591 	0.40056423 	0.00125611 	0.93496428 	0.45445784 	0.5083 	5 
3.05827240 	0.93458472 	1.54113310 	0.49199734 	0.82593841 	0.60596803 	0.87542218 	0.93907217 	0.99742092 	0.70339689 	-1.02023703 	1.32926144 	0.98246329 	0.79872310 	0.24652413 	0.00096082 	0.99150207 	0.15906705 	0.4917 	6 
3.09520087 	1.21001724 	1.69111400 	0.27531079 	0.67017814 	0.93411222 	0.62084280 	0.71245781 	0.99521346 	0.53744812 	-1.11578992 	1.11013906 	0.66965927 	0.68653347 	0.02275054 	0.00067038 	0.85769777 	0.30613365 	0.4756 	7 
3.57500876 	0.98649929 	1.34469515 	0.25630785 	0.94289731 	0.96542222 	0.91053605 	0.44021023 	0.99924504 	0.84773418 	-1.23722573 	1.14189803 	0.87045704 	0.81232767 	0.07868596 	0.00027819 	0.61150178 	0.56844662 	0.4601 	8 
3.73895925 	1.04031565 	1.20628488 	0.07043773 	0.88066111 	0.87396279 	0.76049617 	0.77212979 	0.99787025 	0.86600615 	-1.17278346 	1.12287671 	0.98973100 	0.58381112 	0.09401195 	0.00042871 	0.45611848 	0.75700494 	0.4451 	9 
